['time',          'actual',     'base',       'forecast'],
['20160105000000',24.0000000000,24.0000000000,9.8104903  ],
['20160105010000',24.0000000000,24.0000000000,25.69741842],
['20160105020000',24.0000000000,24.0000000000,23.95378531],
['20160105030000',24.0000000000,24.0000000000,24.14515374],
['20160105040000',24.0000000000,24.0000000000,24.12415054],
['20160105050000',24.0000000000,24.0000000000,24.1264557 ],
['20160105060000',24.0000000000,24.0000000000,24.1262027 ],
['20160105070000',24.0000000000,24.0000000000,24.12623047],
['20160105080000',25.0000000000,25.0000000000,24.12622742],
['20160105090000',25.0000000000,25.0000000000,25.01160498],
['20160105100000',25.0000000000,25.0000000000,24.91443241],
['20160105110000',25.0000000000,25.0000000000,24.92509736],
['20160105120000',25.0000000000,25.0000000000,24.92392685],
['20160105130000',25.0000000000,25.0000000000,24.92405532],
['20160105140000',25.0000000000,25.0000000000,24.92404122],
['20160105150000',25.0000000000,25.0000000000,24.92404277],
['20160105160000',25.0000000000,25.0000000000,24.9240426 ],
['20160105170000',25.0000000000,25.0000000000,24.92404261],
['20160105180000',25.0000000000,25.0000000000,24.92404261],
['20160105190000',25.0000000000,25.0000000000,24.92404261],
['20160105200000',25.0000000000,25.0000000000,24.92404261],
['20160105210000',25.0000000000,25.0000000000,24.92404261],
['20160105220000',25.0000000000,25.0000000000,24.92404261],
['20160105230000',24.0000000000,24.0000000000,24.92404261],
['20160106000000',24.0000000000,24.0000000000,24.03866539],
['20160106010000',24.0000000000,24.0000000000,24.13583792],
['20160106020000',24.0000000000,24.0000000000,24.12517298],
['20160106030000',24.0000000000,24.0000000000,24.12634348],
['20160106040000',24.0000000000,24.0000000000,24.12621502],
['20160106050000',24.0000000000,24.0000000000,24.12622912],
['20160106060000',24.0000000000,24.0000000000,24.12622757],
['20160106070000',24.0000000000,24.0000000000,24.12622774],
['20160106080000',25.0000000000,25.0000000000,24.12622772],
['20160106090000',25.0000000000,25.0000000000,25.01160494],
['20160106100000',25.0000000000,25.0000000000,24.91443241],
['20160106110000',25.0000000000,25.0000000000,24.92509736],
['20160106120000',25.0000000000,25.0000000000,24.92392685],
['20160106130000',25.0000000000,25.0000000000,24.92405532],
['20160106140000',25.0000000000,25.0000000000,24.92404122],
['20160106150000',25.0000000000,25.0000000000,24.92404277],
['20160106160000',25.0000000000,25.0000000000,24.9240426 ],
['20160106170000',25.0000000000,25.0000000000,24.92404261],
['20160106180000',25.0000000000,25.0000000000,24.92404261],
['20160106190000',25.0000000000,25.0000000000,24.92404261],
['20160106200000',25.0000000000,25.0000000000,24.92404261],
['20160106210000',25.0000000000,25.0000000000,24.92404261],
['20160106220000',25.0000000000,25.0000000000,24.92404261],
['20160106230000',24.0000000000,24.0000000000,24.92404261],
['20160107000000',24.0000000000,24.0000000000,24.03866539],
['20160107010000',24.0000000000,24.0000000000,24.13583792],
['20160107020000',24.0000000000,24.0000000000,24.12517298],
['20160107030000',24.0000000000,24.0000000000,24.12634348],
['20160107040000',24.0000000000,24.0000000000,24.12621502],
['20160107050000',24.0000000000,24.0000000000,24.12622912],
['20160107060000',24.0000000000,24.0000000000,24.12622757],
['20160107070000',24.0000000000,24.0000000000,24.12622774],
['20160107080000',25.0000000000,25.0000000000,24.12622772],
['20160107090000',25.0000000000,25.0000000000,25.01160494],
['20160107100000',25.0000000000,25.0000000000,24.91443241],
['20160107110000',25.0000000000,25.0000000000,24.92509736],
['20160107120000',25.0000000000,25.0000000000,24.92392685],
['20160107130000',25.0000000000,25.0000000000,24.92405532],
['20160107140000',25.0000000000,25.0000000000,24.92404122],
['20160107150000',25.0000000000,25.0000000000,24.92404277],
['20160107160000',25.0000000000,25.0000000000,24.9240426 ],
['20160107170000',25.0000000000,25.0000000000,24.92404261],
['20160107180000',25.0000000000,25.0000000000,24.92404261],
['20160107190000',25.0000000000,25.0000000000,24.92404261],
['20160107200000',25.0000000000,25.0000000000,24.92404261],
['20160107210000',25.0000000000,25.0000000000,24.92404261],
['20160107220000',25.0000000000,25.0000000000,24.92404261],
['20160107230000',24.0000000000,24.0000000000,24.92404261],
['20160108000000',24.0000000000,24.0000000000,24.03866539],
['20160108010000',24.0000000000,,24.16582775],
['20160108020000',24.0000000000,,24.26870162],
['20160108030000',24.0000000000,,24.34849312],
['20160108040000',24.0000000000,,24.41038137],
['20160108050000',24.0000000000,,24.45838341],
['20160108060000',24.0000000000,,24.49561497],
['20160108070000',24.0000000000,,24.52449268],
['20160108080000',25.0000000000,,24.54689094],
['20160108090000',25.0000000000,,24.56426358],
['20160108100000',25.0000000000,,24.57773823],
['20160108110000',25.0000000000,,24.5881895],
['20160108120000',25.0000000000,,24.59629576],
['20160108130000',25.0000000000,,24.60258317],
['20160108140000',25.0000000000,,24.60745984],
['20160108150000',25.0000000000,,24.61124231],
['20160108160000',25.0000000000,,24.61417608],
['20160108170000',25.0000000000,,24.61645159],
['20160108180000',25.0000000000,,24.61821653],
['20160108190000',25.0000000000,,24.61958546],
['20160108200000',25.0000000000,,24.62064723],
                
